Timestamp,Thermal,Nuclear
1,46.52,22
2,46.52,22
3,46.52,22
4,46.52,22
5,46.52,22
6,46.52,22
7,46.52,22
8,46.52,22
9,46.52,22
10,46.52,22
11,46.52,22
12,46.52,22
13,46.52,22
14,46.52,22
15,46.52,22
16,46.52,22
17,46.52,22
18,46.52,22
19,46.52,22
20,46.52,22
21,46.52,22
22,46.52,22
23,46.52,22
24,46.52,22
25,46.52,22
26,46.52,22
27,46.52,22
28,46.52,22
29,46.52,22
30,46.52,22
31,46.52,22
32,46.52,22
33,46.52,22
34,46.52,22
35,46.52,22
36,46.52,22
37,46.52,22
38,46.52,22
39,46.52,22
40,46.52,22
41,46.52,22
42,46.52,22
43,46.52,22
44,46.52,22
45,46.52,22
46,46.52,22
47,46.52,22
48,46.52,22
49,46.52,22
50,46.52,22
51,46.52,22
52,46.52,22
53,46.52,22
54,46.52,22
55,46.52,22
56,46.52,22
57,46.52,22
58,46.52,22
59,46.52,22
60,46.52,22
61,46.52,22
62,46.52,22
63,46.52,22
64,46.52,22
65,46.52,22
66,46.52,22
67,46.52,22
68,46.52,22
69,46.52,22
70,46.52,22
71,46.52,22
72,46.52,22
73,46.52,22
74,46.52,22
75,46.52,22
76,46.52,22
77,46.52,22
78,46.52,22
79,46.52,22
80,46.52,22
81,46.52,22
82,46.52,22
83,46.52,22
84,46.52,22
85,46.52,22
86,46.52,22
87,46.52,22
88,46.52,22
89,46.52,22
90,46.52,22
91,46.52,22
92,46.52,22
93,46.52,22
94,46.52,22
95,46.52,22
96,46.52,22
97,46.52,22
98,46.52,22
99,46.52,22
100,46.52,22
101,46.52,22
102,46.52,22
103,46.52,22
104,46.52,22
105,46.52,22
106,46.52,22
107,46.52,22
108,46.52,22
109,46.52,22
110,46.52,22
111,46.52,22
112,46.52,22
113,46.52,22
114,46.52,22
115,46.52,22
116,46.52,22
117,46.52,22
118,46.52,22
119,46.52,22
120,46.52,22
121,46.52,22
122,46.52,22
123,46.52,22
124,46.52,22
125,46.52,22
126,46.52,22
127,46.52,22
128,46.52,22
129,46.52,22
130,46.52,22
131,46.52,22
132,46.52,22
