Area,Installert effekt [MW],Maks magasinfylling [MWh],Start nivaa [MW]
NO1,1205.11,6000000,3679400.0
NO2,9839.5788,33990000,23170182.57
NO3,3321.8779,9120000,5525191.437
NO4,4615.3029,20870000,13877854.33
NO5,7360.32,17430000,11001816.0
SE1,3874.607127,6861000,6037680.0
SE2,5177.374061,12808000,10246400.0
SE3,662.4642713,2042000,1470240.0
SE4,238.0,113000,75145.0
