Area,Thermal,Nuclear
NO1,0.0,0
NO2,0.0,0
NO3,0.0,0
NO4,248.0,0
NO5,10.55,0
SE1,0.0,0
SE2,0.0,0
SE3,888.0,6937
SE4,1293.0,0
