Timestamp,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
1,0.0,379.1887,30.0599,92.1635,65.6551,1.009,0.0,0.0,78.9932
2,0.0,351.7955,25.7289,85.6727,61.6138,0.9911,0.0,0.0,72.054
3,0.0,338.4953,21.7375,81.8072,59.8003,1.1854,0.0,0.0,69.6357
4,0.0,336.6463,19.8178,80.1534,59.275,0.6837,0.0,0.0,70.0212
5,0.0,343.8331,18.9674,81.1607,59.6948,0.8188,0.0,0.0,72.385
6,0.0,368.7824,20.4087,85.9034,62.0876,3.2612,0.0,0.0,84.368
7,0.0,442.6869,27.4416,98.4261,70.26,7.225,0.0,0.0,117.6864
8,0.0,531.0668,41.7615,117.7226,79.9858,10.4299,0.0,0.0,137.0989
9,0.0,568.5616,49.6049,126.9169,84.6738,11.2702,0.0,0.0,141.3788
10,0.0,578.1749,51.903,129.3135,86.5656,11.2639,0.0,0.0,145.286
11,0.0,581.9789,53.4428,130.7282,86.8142,11.2888,0.0,0.0,152.0837
12,0.0,569.8167,52.1088,129.3913,85.6995,10.2372,0.0,0.0,160.1935
13,0.0,556.7154,48.271,124.8247,84.1255,10.5976,0.0,0.0,166.7419
14,0.0,545.9706,45.3865,124.9273,82.5566,10.7549,0.0,0.0,162.9849
15,0.0,541.3397,42.4034,125.8654,82.4006,10.2663,0.0,0.0,153.6791
16,0.0,535.6324,38.8631,126.1479,82.5504,10.7512,0.0,0.0,142.9238
17,0.0,537.7172,38.8303,123.6445,83.5834,10.9945,0.0,0.0,135.3113
18,0.0,536.5519,38.2087,122.5792,83.662,11.2929,0.0,0.0,136.5163
19,0.0,536.2781,39.8755,122.6539,83.3611,10.8444,0.0,0.0,138.8921
20,0.0,533.4018,42.1725,122.9966,82.817,10.0922,0.0,0.0,138.984
21,0.0,522.404,40.6228,121.5619,81.5615,8.9145,0.0,0.0,139.1413
22,0.0,502.8732,36.8644,118.3264,79.5239,8.1769,0.0,0.0,139.7867
23,0.0,468.6863,31.5294,112.1667,75.7367,6.345,0.0,0.0,120.4796
24,0.0,422.5398,26.4177,102.331,69.9656,2.9964,0.0,0.0,97.3868
25,0.0,385.2737,21.1428,93.0988,66.3114,0.0,0.0,0.0,83.7928
26,0.0,360.3154,17.9333,86.8955,62.2424,0.0,0.0,0.0,74.8936
27,0.0,348.5112,15.7109,83.2935,60.428,0.0,0.0,0.0,71.1431
28,0.0,345.3846,14.2713,81.5952,59.9026,0.0,0.0,0.0,70.5794
29,0.0,350.8841,13.5326,82.379,60.3229,0.0,0.0,0.0,72.2891
30,0.0,371.5943,14.057,87.0708,62.717,1.7841,0.0,0.0,86.4686
31,0.0,443.2726,19.51,99.2031,70.9456,5.627,0.0,0.0,126.449
32,0.0,529.9658,29.4073,117.731,80.755,9.2186,0.0,0.0,167.8853
33,0.0,567.1709,36.1389,126.5485,85.3938,10.8719,0.0,0.0,171.0405
34,0.0,577.8018,37.629,128.8267,87.3123,11.2798,0.0,0.0,174.1249
35,0.0,581.5753,37.8455,130.1862,87.5616,11.1003,0.0,0.0,181.9873
36,0.0,571.578,38.2425,128.83,86.4532,10.066,0.0,0.0,188.0036
37,0.0,559.0593,38.5067,124.4857,84.8913,10.2283,0.0,0.0,195.0677
38,0.0,546.5224,38.8995,124.5893,83.3432,10.0162,0.0,0.0,194.4623
39,0.0,541.6073,39.2685,125.4663,83.1847,9.5015,0.0,0.0,187.1126
40,0.0,537.6183,40.5611,125.685,83.3327,10.1284,0.0,0.0,179.5081
41,0.0,542.3445,41.335,123.2142,84.3598,10.5999,0.0,0.0,172.2504
42,0.0,544.3366,41.8643,122.2379,84.4628,11.3111,0.0,0.0,174.1105
43,0.0,546.4221,42.2234,122.383,84.1624,10.9497,0.0,0.0,173.5547
44,0.0,545.5676,43.4154,122.691,83.6433,10.2803,0.0,0.0,173.9771
45,0.0,535.5963,42.1263,121.2971,82.3623,9.0252,0.0,0.0,168.9791
46,0.0,516.4574,37.6254,118.1142,80.3491,7.8402,0.0,0.0,150.4594
47,0.0,483.518,30.2422,111.9903,76.5579,5.6986,0.0,0.0,126.6311
48,0.0,436.2644,24.3914,102.1431,70.7303,3.5923,0.0,0.0,100.2408
49,0.0,380.701,17.8531,93.3409,66.0442,1.5198,0.0,0.0,78.8892
50,0.0,353.0489,14.8884,87.0694,62.0048,1.3585,0.0,0.0,70.3229
51,0.0,337.635,13.5045,83.2666,60.1924,1.837,0.0,0.0,67.2306
52,0.0,332.396,15.0343,81.4907,59.6673,1.6261,0.0,0.0,67.7547
53,0.0,336.279,17.0338,82.1841,60.1124,2.1252,0.0,0.0,70.7258
54,0.0,357.0553,21.255,86.7523,62.4788,3.6162,0.0,0.0,84.3998
55,0.0,427.5357,31.6681,99.1531,70.6729,7.3074,0.0,0.0,119.8397
56,0.0,512.6184,47.2557,118.0771,80.4218,10.619,0.0,0.0,145.5965
57,0.0,547.9215,58.0136,127.208,85.0279,11.8601,0.0,0.0,145.7826
58,0.0,556.3533,63.9567,129.5201,86.9196,12.1893,0.0,0.0,147.065
59,0.0,559.8608,66.9532,130.8185,87.1931,12.0848,0.0,0.0,152.2267
60,0.0,551.4767,63.5402,129.3428,86.0275,11.2362,0.0,0.0,159.1958
61,0.0,539.6472,57.7316,124.8146,84.4588,11.2679,0.0,0.0,166.4179
62,0.0,529.3391,53.5293,124.7088,82.9614,11.4457,0.0,0.0,166.981
63,0.0,525.283,50.3952,125.4946,82.6951,11.245,0.0,0.0,164.0136
64,0.0,519.9041,49.5059,125.6045,82.8267,11.7063,0.0,0.0,158.1774
65,0.0,523.2434,49.6194,123.1427,83.8301,11.7796,0.0,0.0,154.6932
66,0.0,524.1039,49.772,122.1387,83.9087,12.0064,0.0,0.0,157.7915
67,0.0,524.6589,51.5086,122.3365,83.689,11.479,0.0,0.0,158.845
68,0.0,521.5548,53.4036,122.6128,83.1444,10.9774,0.0,0.0,156.7846
69,0.0,510.796,52.9285,121.0883,81.8355,10.1436,0.0,0.0,158.1242
70,0.0,492.1402,51.9271,117.7346,79.7981,9.3056,0.0,0.0,142.0464
71,0.0,459.5602,47.5723,111.6219,76.0394,7.5354,0.0,0.0,120.3116
72,0.0,412.7484,38.8168,101.9224,70.3261,5.3175,0.0,0.0,94.4022
73,0.0,384.2085,33.9908,95.9542,67.6365,3.2021,0.0,0.0,77.0139
74,0.0,357.5149,29.8207,89.6473,63.5333,2.3262,0.0,0.0,67.0491
75,0.0,345.8829,28.1632,86.0461,61.6643,1.7625,0.0,0.0,62.7125
76,0.0,345.3551,27.4958,84.3892,61.1121,1.5422,0.0,0.0,62.7744
77,0.0,352.3502,26.5554,85.0364,61.5321,2.405,0.0,0.0,65.5634
78,0.0,375.0618,27.6673,89.6712,63.8763,4.1334,0.0,0.0,79.8468
79,0.0,445.1039,34.7689,101.6097,71.9823,7.4876,0.0,0.0,119.273
80,0.0,528.4849,45.6968,119.9005,81.6954,10.6417,0.0,0.0,162.2465
81,0.0,565.8696,52.1105,128.998,86.5001,11.8458,0.0,0.0,179.6686
82,0.0,577.6953,52.9504,131.6783,88.6429,12.3974,0.0,0.0,182.9486
83,0.0,583.0913,55.3478,133.1753,89.0,12.43,0.0,0.0,190.7203
84,0.0,571.9516,51.5741,131.8217,87.8682,12.1078,0.0,0.0,199.0328
85,0.0,560.4009,47.3087,127.3042,86.2473,12.0376,0.0,0.0,195.9958
86,0.0,550.8645,42.3989,126.9863,84.7005,11.9595,0.0,0.0,190.923
87,0.0,546.269,38.0708,127.6368,84.4287,11.6368,0.0,0.0,182.1658
88,0.0,542.425,36.0125,127.7909,84.5501,12.1221,0.0,0.0,177.6528
89,0.0,545.1477,35.5703,125.5518,85.5745,12.3059,0.0,0.0,175.5359
90,0.0,545.7116,36.4104,124.7485,85.7327,12.5734,0.0,0.0,181.1709
91,0.0,547.0884,35.6483,125.0916,85.5413,12.1986,0.0,0.0,180.637
92,0.0,545.7974,33.584,125.3723,84.9946,11.8062,0.0,0.0,174.4643
93,0.0,535.175,29.7292,123.8329,83.602,11.0521,0.0,0.0,160.8569
94,0.0,515.8617,25.4984,120.4714,81.5046,10.1744,0.0,0.0,142.6787
95,0.0,483.3955,20.3575,114.3532,77.7086,8.5518,0.0,0.0,119.7704
96,0.0,437.4018,17.4379,104.7597,71.9541,6.594,0.0,0.0,94.1013
97,0.0,404.0827,13.14,98.8789,67.909,4.5867,0.0,0.0,77.1165
98,0.0,379.1227,11.106,92.7214,63.8095,4.1181,0.0,0.0,69.2908
99,0.0,366.2734,10.0451,89.0876,61.9679,3.7851,0.0,0.0,66.7287
100,0.0,363.2583,10.3321,87.4681,61.4153,2.8665,0.0,0.0,67.2322
101,0.0,367.4165,10.1343,88.1237,61.7829,2.0609,0.0,0.0,69.7
102,0.0,387.5402,10.8691,92.3343,64.0207,3.0566,0.0,0.0,81.3926
103,0.0,454.1287,14.4331,103.7595,71.8238,6.5359,0.0,0.0,111.8841
104,0.0,535.4339,21.1813,121.3665,81.1964,9.8984,0.0,0.0,132.3785
105,0.0,572.611,25.6358,130.3434,85.9395,11.1318,0.0,0.0,131.6904
106,0.0,584.7632,26.2518,133.1678,88.214,11.5622,0.0,0.0,130.2355
107,0.0,591.147,26.5342,134.8275,88.6813,11.6712,0.0,0.0,134.7857
108,0.0,582.3783,22.9206,133.6068,87.6374,11.5459,0.0,0.0,136.8062
109,0.0,571.643,25.3086,129.2998,86.0795,11.4939,0.0,0.0,140.7503
110,0.0,560.8531,28.3156,129.2715,84.5561,11.506,0.0,0.0,141.1156
111,0.0,555.6372,28.9752,130.0429,84.3449,11.3541,0.0,0.0,133.9793
112,0.0,550.5057,28.3353,130.3529,84.4641,11.9567,0.0,0.0,126.7858
113,0.0,554.1855,26.6322,128.1494,85.5105,12.2647,0.0,0.0,126.3985
114,0.0,554.9768,26.4859,127.4619,85.7472,12.6558,0.0,0.0,133.4089
115,0.0,556.7475,27.5418,127.7244,85.5556,12.2901,0.0,0.0,138.891
116,0.0,554.5594,30.9385,128.0133,85.0643,11.8804,0.0,0.0,142.5595
117,0.0,542.0235,31.7747,126.6203,83.7533,11.0248,0.0,0.0,144.503
118,0.0,521.5867,32.7896,123.5677,81.6869,10.0929,0.0,0.0,136.2494
119,0.0,488.8245,32.4482,117.6461,77.9209,8.5387,0.0,0.0,116.835
120,0.0,442.6785,28.8162,108.05,72.1707,7.1402,0.0,0.0,94.2351
121,0.0,402.7499,25.546,99.9208,67.6014,5.5615,0.0,0.0,76.9284
122,0.0,375.7775,23.5249,93.6684,63.556,5.2459,0.0,0.0,68.156
123,0.0,363.6702,21.3792,89.766,61.7397,4.8301,0.0,0.0,64.3473
124,0.0,360.6697,20.4131,87.948,61.1899,4.2764,0.0,0.0,64.3125
125,0.0,365.106,20.5639,88.6027,61.6095,4.1201,0.0,0.0,67.1364
126,0.0,386.3702,22.8729,93.0794,63.9773,5.0805,0.0,0.0,80.6216
127,0.0,454.5037,30.578,105.3986,72.1024,8.3614,0.0,0.0,116.3281
128,0.0,538.0371,42.7652,124.5461,81.7526,11.3825,0.0,0.0,150.582
129,0.0,575.207,48.9529,134.1095,86.471,12.3486,0.0,0.0,149.7954
130,0.0,586.1966,50.7286,136.6705,88.5293,12.5401,0.0,0.0,147.9391
131,0.0,591.8572,53.8988,138.1524,88.8589,12.4236,0.0,0.0,151.5031
132,0.0,582.0419,57.2713,136.8069,87.7825,11.9232,0.0,0.0,151.0621
133,0.0,570.6521,53.303,132.2894,86.2088,11.6238,0.0,0.0,153.716
134,0.0,561.1352,49.9864,132.3977,84.6673,11.43,0.0,0.0,154.8354
135,0.0,556.7654,48.9219,133.3717,84.5114,10.9596,0.0,0.0,147.9134
136,0.0,552.7143,50.232,133.7518,84.6634,11.8531,0.0,0.0,142.8314
137,0.0,557.5512,50.4228,131.1953,85.6883,12.3159,0.0,0.0,140.4127
138,0.0,559.8233,48.3939,130.1237,85.814,12.8573,0.0,0.0,147.1581
139,0.0,562.3495,45.6405,130.3408,85.5686,12.4152,0.0,0.0,153.1999
140,0.0,560.4901,42.1103,130.7158,85.0768,11.8313,0.0,0.0,156.0159
141,0.0,549.4379,38.4498,129.2632,83.8219,10.7421,0.0,0.0,155.6785
142,0.0,531.0028,36.0118,125.9614,81.8073,9.4804,0.0,0.0,139.7582
143,0.0,498.8417,32.4934,119.5126,77.9873,7.4048,0.0,0.0,118.0064
144,0.0,453.9867,27.3057,109.1918,72.1551,5.1729,0.0,0.0,93.2091
145,0.0,405.6134,23.1296,97.7317,67.5566,2.4048,0.0,0.0,75.9867
146,0.0,381.7468,19.8948,91.1296,63.4571,2.2989,0.0,0.0,68.1856
147,0.0,372.7876,18.4188,87.1857,61.6404,2.6876,0.0,0.0,65.6472
148,0.0,373.4182,17.9207,85.5438,61.1153,2.9024,0.0,0.0,66.2447
149,0.0,378.3251,17.9022,86.5433,61.5612,3.5299,0.0,0.0,68.9045
150,0.0,398.2507,20.3165,91.5611,64.0106,4.7411,0.0,0.0,80.9435
151,0.0,466.0583,27.5538,104.5806,72.3827,8.0683,0.0,0.0,111.8911
152,0.0,549.1027,37.0329,124.3251,82.3179,11.3143,0.0,0.0,126.9951
153,0.0,584.3959,40.6868,133.7465,87.0444,12.4903,0.0,0.0,128.3509
154,0.0,591.6574,41.275,135.9792,88.9668,12.7796,0.0,0.0,128.9673
155,0.0,593.2794,45.3182,137.1503,89.1875,12.661,0.0,0.0,135.7909
156,0.0,579.9772,42.4036,135.6029,88.0531,12.2144,0.0,0.0,141.2061
157,0.0,565.8496,39.7301,131.0708,86.4274,11.8422,0.0,0.0,145.7603
158,0.0,553.9888,41.1209,131.1467,84.9039,11.6118,0.0,0.0,143.6686
159,0.0,549.9151,42.1419,132.0182,84.6904,11.3494,0.0,0.0,133.995
160,0.0,546.6712,41.402,132.2223,84.844,11.7147,0.0,0.0,126.2804
161,0.0,551.5069,38.4133,129.6944,85.8741,11.8875,0.0,0.0,126.4664
162,0.0,552.8673,36.8619,128.4925,85.975,12.0203,0.0,0.0,133.0902
163,0.0,553.7175,35.7417,128.4866,85.6468,11.621,0.0,0.0,139.5427
164,0.0,551.2813,36.1664,128.775,85.1537,11.372,0.0,0.0,145.37
165,0.0,539.7068,36.1289,127.3821,83.8707,10.999,0.0,0.0,150.2883
166,0.0,521.0668,34.1207,124.0648,81.8539,10.1741,0.0,0.0,138.2467
167,0.0,489.2906,30.2457,117.8414,78.004,8.4837,0.0,0.0,117.4876
168,0.0,443.2719,27.0635,107.8475,72.0884,6.7035,0.0,0.0,92.4431
169,0.0,385.5709,21.4086,97.8241,65.8755,4.3015,0.0,0.0,73.6885
170,0.0,358.6046,19.6871,91.3789,61.8609,3.924,0.0,0.0,63.684
171,0.0,345.579,18.9754,87.5534,60.0477,4.0067,0.0,0.0,59.1111
172,0.0,344.318,18.4753,85.5564,59.5228,3.9642,0.0,0.0,58.8291
173,0.0,351.3868,17.4117,86.2114,59.943,3.8989,0.0,0.0,62.0993
174,0.0,373.5745,16.8535,91.0092,62.3613,4.9683,0.0,0.0,77.4397
175,0.0,443.4005,20.9318,103.7213,70.5852,8.1155,0.0,0.0,117.5317
176,0.0,527.7575,29.5788,123.091,80.3385,11.0999,0.0,0.0,159.1692
177,0.0,563.5319,34.3781,132.2426,84.9737,11.8858,0.0,0.0,167.5222
178,0.0,572.9811,34.2028,134.5626,86.8373,11.8734,0.0,0.0,166.5931
179,0.0,576.9798,32.1321,135.9656,87.0851,11.6141,0.0,0.0,169.0166
180,0.0,566.3169,31.8701,134.6225,85.9311,10.6808,0.0,0.0,172.6333
181,0.0,555.1466,30.6053,130.0119,84.3391,10.356,0.0,0.0,178.0285
182,0.0,544.8118,33.4377,130.0015,82.8201,10.0429,0.0,0.0,179.3412
183,0.0,541.9922,36.1448,130.8504,82.645,9.2207,0.0,0.0,175.8039
