Timestamp,Total_Down_Reserve
1,2103.0
2,2054.21
3,2034.41
4,2029.42
5,2039.88
6,2108.73
7,2301.01
8,2436.27
9,2480.94
10,2494.87
11,2507.8
12,2506.31
13,2498.36
14,2477.98
15,2449.11
16,2429.67
17,2424.39
18,2431.54
19,2436.52
20,2439.85
21,2432.8
22,2415.87
23,2337.11
24,2209.34
25,2129.61
26,2075.92
27,2051.1
28,2043.95
29,2050.93
30,2121.73
31,2324.26
32,2492.44
33,2539.31
34,2555.24
35,2569.16
36,2564.04
37,2560.81
38,2552.78
39,2535.84
40,2524.45
41,2520.64
42,2525.88
43,2521.61
44,2512.99
45,2486.81
46,2431.05
47,2343.34
48,2215.34
49,2101.23
50,2046.31
51,2022.45
52,2017.29
53,2026.32
54,2094.5
55,2283.88
56,2424.12
57,2473.47
58,2494.18
59,2513.46
60,2521.03
61,2520.17
62,2511.38
63,2501.25
64,2495.38
65,2500.53
66,2510.21
67,2513.24
68,2511.65
69,2500.49
70,2450.4
71,2354.77
72,2223.73
73,2136.08
74,2074.86
75,2045.13
76,2035.58
77,2043.14
78,2109.83
79,2304.47
80,2470.68
81,2540.64
82,2562.75
83,2582.37
84,2591.66
85,2574.44
86,2555.17
87,2533.84
88,2524.46
89,2529.06
90,2541.34
91,2536.47
92,2515.3
93,2470.6
94,2408.98
95,2325.61
96,2203.47
97,2104.93
98,2051.96
99,2027.45
100,2020.0
101,2025.75
102,2083.15
103,2251.0
104,2366.46
105,2404.1
106,2417.62
107,2432.8
108,2429.11
109,2424.44
110,2417.23
111,2403.83
112,2393.82
113,2394.85
114,2405.12
115,2408.64
116,2411.6
117,2406.39
118,2375.89
119,2315.17
120,2203.03
121,2104.36
122,2052.78
123,2026.85
124,2018.02
125,2026.11
126,2089.27
127,2274.1
128,2420.33
129,2466.61
130,2484.91
131,2501.67
132,2504.83
133,2497.47
134,2488.15
135,2471.78
136,2463.13
137,2464.71
138,2477.49
139,2483.47
140,2484.95
141,2469.92
142,2420.85
143,2339.23
144,2207.01
145,2098.55
146,2046.41
147,2023.49
148,2016.81
149,2024.65
150,2085.97
151,2261.14
152,2366.42
153,2407.78
154,2423.22
155,2449.08
156,2457.46
157,2454.22
158,2446.88
159,2431.23
160,2422.83
161,2431.17
162,2450.14
163,2461.11
164,2467.2
165,2460.72
166,2415.18
167,2328.84
168,2199.35
169,2086.23
170,2031.1
171,2006.09
172,1998.93
173,2007.56
174,2075.19
175,2267.41
176,2429.25
177,2485.79
178,2501.92
179,2516.9
180,2518.63
181,2519.53
182,2515.04
183,2502.17
184,2495.16
185,2490.49
186,2488.63
187,2482.27
188,2471.62
189,2441.64
190,2389.1
191,2303.72
192,2176.94
193,2074.64
194,2024.61
195,2002.86
196,1996.57
197,2004.06
198,2066.2
199,2248.54
200,2389.15
201,2423.13
202,2428.56
203,2437.31
204,2430.13
205,2424.16
206,2418.65
207,2402.03
208,2393.22
