Timestamp,Thermal,Nuclear
1,44.4,22
2,44.4,22
3,44.4,22
4,44.4,22
5,44.4,22
6,44.4,22
7,44.4,22
8,44.4,22
9,44.4,22
10,44.4,22
11,44.4,22
12,44.4,22
13,44.4,22
14,44.4,22
15,44.4,22
16,44.4,22
17,44.4,22
18,44.4,22
19,44.4,22
20,44.4,22
21,44.4,22
22,44.4,22
23,44.4,22
24,44.4,22
25,44.4,22
26,44.4,22
27,44.4,22
28,44.4,22
29,44.4,22
30,44.4,22
31,44.4,22
32,44.4,22
33,44.4,22
34,44.4,22
35,44.4,22
36,44.4,22
37,44.4,22
38,44.4,22
39,44.4,22
40,44.4,22
41,44.4,22
42,44.4,22
43,44.4,22
44,44.4,22
45,44.4,22
46,44.4,22
47,44.4,22
48,44.4,22
49,44.4,22
50,44.4,22
51,44.4,22
52,44.4,22
53,44.4,22
54,44.4,22
55,44.4,22
56,44.4,22
57,44.4,22
58,44.4,22
59,44.4,22
60,44.4,22
61,44.4,22
62,44.4,22
63,44.4,22
64,44.4,22
65,44.4,22
66,44.4,22
67,44.4,22
68,44.4,22
69,44.4,22
70,44.4,22
71,44.4,22
72,44.4,22
73,44.4,22
74,44.4,22
75,44.4,22
76,44.4,22
77,44.4,22
78,44.4,22
79,44.4,22
80,44.4,22
81,44.4,22
82,44.4,22
83,44.4,22
84,44.4,22
85,44.4,22
86,44.4,22
87,44.4,22
88,44.4,22
89,44.4,22
90,44.4,22
91,44.4,22
92,44.4,22
93,44.4,22
94,44.4,22
95,44.4,22
96,44.4,22
97,44.4,22
98,44.4,22
99,44.4,22
100,44.4,22
101,44.4,22
102,44.4,22
103,44.4,22
104,44.4,22
105,44.4,22
106,44.4,22
107,44.4,22
108,44.4,22
109,44.4,22
110,44.4,22
111,44.4,22
112,44.4,22
113,44.4,22
114,44.4,22
115,44.4,22
116,44.4,22
117,44.4,22
118,44.4,22
119,44.4,22
120,44.4,22
121,44.4,22
122,44.4,22
123,44.4,22
124,44.4,22
125,44.4,22
126,44.4,22
127,44.4,22
128,44.4,22
129,44.4,22
130,44.4,22
131,44.4,22
132,44.4,22
133,44.4,22
134,44.4,22
135,44.4,22
136,44.4,22
137,44.4,22
138,44.4,22
139,44.4,22
140,44.4,22
141,44.4,22
142,44.4,22
143,44.4,22
144,44.4,22
145,44.4,22
146,44.4,22
147,44.4,22
148,44.4,22
149,44.4,22
150,44.4,22
151,44.4,22
152,44.4,22
153,44.4,22
154,44.4,22
155,44.4,22
156,44.4,22
157,44.4,22
158,44.4,22
159,44.4,22
160,44.4,22
161,44.4,22
162,44.4,22
163,44.4,22
164,44.4,22
165,44.4,22
166,44.4,22
167,44.4,22
168,44.4,22
169,44.4,22
170,44.4,22
171,44.4,22
172,44.4,22
173,44.4,22
174,44.4,22
175,44.4,22
176,44.4,22
177,44.4,22
178,44.4,22
179,44.4,22
180,44.4,22
181,44.4,22
182,44.4,22
183,44.4,22
184,44.4,22
185,44.4,22
186,44.4,22
187,44.4,22
188,44.4,22
189,44.4,22
190,44.4,22
191,44.4,22
192,44.4,22
193,44.4,22
194,44.4,22
195,44.4,22
196,44.4,22
197,44.4,22
198,44.4,22
199,44.4,22
200,44.4,22
201,44.4,22
202,44.4,22
203,44.4,22
204,44.4,22
205,44.4,22
206,44.4,22
207,44.4,22
208,44.4,22
209,44.4,22
210,44.4,22
211,44.4,22
212,44.4,22
213,44.4,22
214,44.4,22
215,44.4,22
216,44.4,22
217,44.4,22
218,44.4,22
219,44.4,22
220,44.4,22
221,44.4,22
222,44.4,22
223,44.4,22
224,44.4,22
225,44.4,22
226,44.4,22
227,44.4,22
228,44.4,22
229,44.4,22
230,44.4,22
231,44.4,22
232,44.4,22
233,44.4,22
234,44.4,22
235,44.4,22
236,44.4,22
237,44.4,22
238,44.4,22
239,44.4,22
240,44.4,22
241,44.4,22
242,44.4,22
243,44.4,22
244,44.4,22
245,44.4,22
246,44.4,22
247,44.4,22
248,44.4,22
249,44.4,22
250,44.4,22
251,44.4,22
252,44.4,22
253,44.4,22
254,44.4,22
255,44.4,22
256,44.4,22
257,44.4,22
258,44.4,22
259,44.4,22
260,44.4,22
261,44.4,22
262,44.4,22
263,44.4,22
264,44.4,22
265,44.4,22
266,44.4,22
267,44.4,22
268,44.4,22
269,44.4,22
270,44.4,22
271,44.4,22
272,44.4,22
273,44.4,22
274,44.4,22
275,44.4,22
276,44.4,22
277,44.4,22
278,44.4,22
279,44.4,22
280,44.4,22
281,44.4,22
282,44.4,22
283,44.4,22
284,44.4,22
285,44.4,22
286,44.4,22
287,44.4,22
288,44.4,22
289,44.4,22
290,44.4,22
291,44.4,22
292,44.4,22
293,44.4,22
294,44.4,22
295,44.4,22
296,44.4,22
297,44.4,22
298,44.4,22
299,44.4,22
300,44.4,22
301,44.4,22
302,44.4,22
303,44.4,22
304,44.4,22
305,44.4,22
306,44.4,22
307,44.4,22
308,44.4,22
309,44.4,22
310,44.4,22
311,44.4,22
312,44.4,22
313,44.4,22
314,44.4,22
315,44.4,22
316,44.4,22
317,44.4,22
318,44.4,22
319,44.4,22
320,44.4,22
321,44.4,22
322,44.4,22
323,44.4,22
324,44.4,22
325,44.4,22
326,44.4,22
327,44.4,22
328,44.4,22
329,44.4,22
330,44.4,22
331,44.4,22
332,44.4,22
333,44.4,22
334,44.4,22
335,44.4,22
336,44.4,22
337,44.4,22
338,44.4,22
339,44.4,22
340,44.4,22
341,44.4,22
342,44.4,22
343,44.4,22
344,44.4,22
345,44.4,22
346,44.4,22
347,44.4,22
348,44.4,22
349,44.4,22
350,44.4,22
351,44.4,22
352,44.4,22
353,44.4,22
354,44.4,22
355,44.4,22
356,44.4,22
357,44.4,22
358,44.4,22
359,44.4,22
360,44.4,22
361,44.4,22
362,44.4,22
363,44.4,22
364,44.4,22
365,44.4,22
366,44.4,22
367,44.4,22
368,44.4,22
369,44.4,22
370,44.4,22
371,44.4,22
372,44.4,22
373,44.4,22
374,44.4,22
375,44.4,22
376,44.4,22
377,44.4,22
378,44.4,22
379,44.4,22
380,44.4,22
381,44.4,22
382,44.4,22
383,44.4,22
384,44.4,22
385,44.4,22
386,44.4,22
387,44.4,22
388,44.4,22
389,44.4,22
390,44.4,22
391,44.4,22
392,44.4,22
393,44.4,22
394,44.4,22
395,44.4,22
396,44.4,22
397,44.4,22
398,44.4,22
399,44.4,22
400,44.4,22
401,44.4,22
402,44.4,22
403,44.4,22
404,44.4,22
405,44.4,22
406,44.4,22
407,44.4,22
408,44.4,22
409,44.4,22
410,44.4,22
411,44.4,22
412,44.4,22
413,44.4,22
414,44.4,22
415,44.4,22
416,44.4,22
417,44.4,22
418,44.4,22
419,44.4,22
420,44.4,22
421,44.4,22
422,44.4,22
423,44.4,22
424,44.4,22
425,44.4,22
426,44.4,22
427,44.4,22
428,44.4,22
429,44.4,22
430,44.4,22
431,44.4,22
432,44.4,22
433,44.4,22
434,44.4,22
435,44.4,22
436,44.4,22
437,44.4,22
438,44.4,22
439,44.4,22
440,44.4,22
441,44.4,22
442,44.4,22
443,44.4,22
444,44.4,22
445,44.4,22
446,44.4,22
447,44.4,22
448,44.4,22
449,44.4,22
450,44.4,22
451,44.4,22
452,44.4,22
453,44.4,22
454,44.4,22
455,44.4,22
456,44.4,22
457,44.4,22
458,44.4,22
459,44.4,22
460,44.4,22
461,44.4,22
462,44.4,22
463,44.4,22
464,44.4,22
465,44.4,22
466,44.4,22
467,44.4,22
468,44.4,22
469,44.4,22
470,44.4,22
471,44.4,22
472,44.4,22
473,44.4,22
474,44.4,22
475,44.4,22
476,44.4,22
477,44.4,22
478,44.4,22
479,44.4,22
480,44.4,22
481,44.4,22
482,44.4,22
483,44.4,22
484,44.4,22
485,44.4,22
486,44.4,22
487,44.4,22
488,44.4,22
489,44.4,22
490,44.4,22
491,44.4,22
492,44.4,22
493,44.4,22
494,44.4,22
495,44.4,22
496,44.4,22
497,44.4,22
498,44.4,22
499,44.4,22
500,44.4,22
501,44.4,22
