Timestamp,Onshore,Offshore,PV,Run_of_river
1,2082.558380935294,143.28998612828633,1.1585698590888333e-06,0.5318686913590992
2,2063.06620715132,141.94883125998368,1.1540552751116669e-06,0.5318686913590992
3,2049.4623175901447,141.01281853431112,1.168082232415e-06,0.5318686913590992
4,2072.876570875295,142.62383124787866,1.1601043763633332e-06,0.5318686913590992
5,2084.432021287727,143.41890155393168,1.1693490058891669e-06,0.5318686913590992
6,2023.894108061877,139.2536033199049,1.1760361657975e-06,0.5318686913590992
7,1990.8037963601168,136.97683146652886,1.155069040055e-06,0.5318686913590992
8,1988.8116258260256,136.83976059696363,1.1560703231233336e-06,0.5318686913590992
9,2017.3460232123616,138.80306373559202,1.1430859555733334e-06,0.5318686913590992
10,2050.020738140752,141.051240541436,1.1071187984966666e-06,0.5318686913590992
11,2031.4064247899628,139.77048667338633,1.07668644874e-06,0.5318686913590992
12,2102.372513648916,144.65329331221454,0.3904879340063296,0.5318686913590992
13,2036.260507900316,140.10447082860398,0.8965973246756094,0.5318686913590992
14,1991.927437027552,137.0541433234851,0.5059672981507592,0.5318686913590992
15,2003.82464530974,137.87272820702358,0.0001707612349624,0.5318686913590992
16,2023.980783201584,139.2595669844437,1.1794913910383332e-06,0.5318686913590992
17,2035.3186412470488,140.03966589400198,1.1833717082600002e-06,0.5318686913590992
18,2060.415593673654,141.76645636383523,1.1997505855125e-06,0.5318686913590992
19,2060.8310736631006,141.79504337607432,1.1386543854956668e-06,0.5318686913590992
20,2082.5484413943723,143.28930224028886,1.117879425523e-06,0.5318686913590992
21,2087.299084876299,143.6161692538897,1.099776694451167e-06,0.5318686913590992
22,2034.269706192588,139.9674941408453,1.0341862708916669e-06,0.5318686913590992
23,2006.126189292108,138.03108545084748,1.0081143105005e-06,0.5318686913590992
24,2117.6186334586578,145.70229934059148,9.496350378363332e-07,0.5318686913590992
25,2162.7232755717305,148.80571464067106,9.426739305433332e-07,0.5272792982679654
26,2181.9799029403,150.13066278799772,9.278081183828332e-07,0.5272792982679654
27,2190.067133597774,150.68710297202048,9.054185407831666e-07,0.5272792982679654
28,2169.0744871174265,149.24270839921903,8.838860560016667e-07,0.5272792982679654
29,2170.266072530384,149.324695179929,8.663067533749999e-07,0.5272792982679654
30,2142.5819409904443,147.41989440188308,8.618403228073334e-07,0.5272792982679654
31,2153.9636405428164,148.20300981699248,8.783540187333334e-07,0.5272792982679654
32,2160.3831916946456,148.64470566759442,8.760361142050001e-07,0.5272792982679654
33,2115.6507496138715,145.5668995115145,8.708549230266667e-07,0.5272792982679654
34,2097.258271399644,144.3014089628184,8.744221356499999e-07,0.5272792982679654
35,2104.6131255681903,144.80745813840656,8.645144300916666e-07,0.5272792982679654
36,2160.712304412852,148.66735019811907,0.37337341849675,0.5272792982679654
37,2124.5521342169905,146.17935738447488,0.8808745571640001,0.5272792982679654
38,2128.3319083510523,146.43942393924513,0.498511053775,0.5272792982679654
39,2133.7189004120537,146.8100747813826,0.0032327780369126,0.5272792982679654
40,2138.973026322644,147.1715837963215,9.3467908065e-07,0.5272792982679654
41,2130.2020398737523,146.56809794060754,9.293167525016666e-07,0.5272792982679654
42,2108.594087973244,145.08136740933958,8.991236035483333e-07,0.5272792982679654
43,2097.227833328064,144.2993146777821,8.884891810375e-07,0.5272792982679654
44,2106.109370457529,144.91040694954222,8.828344548893332e-07,0.5272792982679654
45,2115.7927041416588,145.57666666258393,8.695132453583332e-07,0.5272792982679654
46,2102.58356481358,144.66781464267706,8.757218187433333e-07,0.5272792982679654
47,2092.487728982633,143.9731728072246,8.907839876250001e-07,0.5272792982679654
48,2102.2242956287846,144.64309520288757,8.772584910366667e-07,0.5272792982679654
49,2058.941017271732,141.66499844836414,8.908505206416667e-07,0.5218370091156618
50,2047.1717098366744,140.85521375538883,8.948555440360668e-07,0.5218370091156618
51,2013.5435836899,138.5414376935972,9.150052731691668e-07,0.5218370091156618
52,2019.8789257828955,138.97733955783,9.281774272925e-07,0.5218370091156618
53,2007.05649774346,138.09509512582684,9.5407285218e-07,0.5218370091156618
54,2005.3157810626403,137.9753254851141,9.352056536400666e-07,0.5218370091156618
55,1996.7202664615645,137.38391293253994,9.528828594343332e-07,0.5218370091156618
56,1981.9835057705527,136.36995324991025,9.447420422416666e-07,0.5218370091156618
57,1946.8872532385103,133.9551630646706,9.4678320473975e-07,0.5218370091156618
58,1913.5820356409176,131.6636046568744,9.49024039145e-07,0.5218370091156618
59,1912.273395349972,131.57356394019962,9.671696712533334e-07,0.5218370091156618
60,2002.9465853231209,137.81231347653912,0.4487035033733,0.5218370091156618
61,1960.89675236222,134.91908366995943,0.9679635707238,0.5218370091156618
62,1884.3217581752087,129.6503574938882,0.570365085248,0.5218370091156618
63,1810.179797975771,124.54903570346126,0.0083979020516486,0.5218370091156618
64,1840.243603375548,126.61756943492036,1.063739068221667e-06,0.5218370091156618
65,1920.9760418461767,132.17234768001518,1.0651013086233335e-06,0.5218370091156618
66,1968.8006566070096,135.46291011917845,1.0587670529275e-06,0.5218370091156618
67,1987.8844122527364,136.7759638644106,1.082332483435e-06,0.5218370091156618
68,1982.711746143148,136.42005967374087,1.0969334162652834e-06,0.5218370091156618
69,1949.3683076826533,134.12587148760812,1.121879374582167e-06,0.5218370091156618
70,1895.6350063418392,130.4287631259715,1.1440566164416668e-06,0.5218370091156618
71,1881.1080804151693,129.42924107963907,1.1575655481949998e-06,0.5218370091156618
72,1945.123278956526,133.8337931896601,1.1338433989633333e-06,0.5218370091156618
